,links
9518,https://www.swiggy.com/bangalore/momo-n-cafe-k-narayanapurakothanur-jp-nagar
9519,https://www.swiggy.com/bangalore/koels-pizzeria-geddalahalli-nagavara-hennur
9520,https://www.swiggy.com/bangalore/vardhas-yelahanka
9521,https://www.swiggy.com/bangalore/de-grand-restaurant-geddalahalli-geddalahalli
9522,https://www.swiggy.com/bangalore/rejoice-the-taste-of-indore-hennur-nagavara-hennur
9523,https://www.swiggy.com/bangalore/janatha-cafe-geddalahalli-geddalahalli
9524,https://www.swiggy.com/bangalore/abhinandana-gardenia-geddalahalli-geddalahalli
9525,https://www.swiggy.com/bangalore/happy-belly-restaurant-nagavara-hennur-nagavara-hennur
9526,https://www.swiggy.com/bangalore/kothanur-kitchen-geddalahalli-geddalahalli
9527,https://www.swiggy.com/bangalore/sangam-sweets-hennur-nagavara-hennur
9528,https://www.swiggy.com/bangalore/joicys-kitchen-hennur-geddalahalli
9529,https://www.swiggy.com/bangalore/byg-brewski-brewing-company-hennur-hennur-geddalahalli
9530,https://www.swiggy.com/bangalore/mma-kabab-rolls-nagavara-hennur-nagavara-hennur
9531,https://www.swiggy.com/bangalore/baskin-robbins-geddalahalli-geddalahalli
9532,https://www.swiggy.com/bangalore/chefs-lab-geddalahalli
9533,https://www.swiggy.com/bangalore/sash-cafe-geddalahalli-geddalahalli
9534,https://www.swiggy.com/bangalore/the-daily-bean-hennur-nagavara-hennur
9535,https://www.swiggy.com/bangalore/kanti-sweets-hennur-hennur-geddalahalli
9536,https://www.swiggy.com/bangalore/tarbouche-koramangala-koramangala
9537,https://www.swiggy.com/bangalore/halli-jonne-biryani-koramangala
9538,https://www.swiggy.com/bangalore/mealer-koramangala-koramangala
9539,https://www.swiggy.com/bangalore/polar-bear-koramangala-6th-block-koramangala
9540,https://www.swiggy.com/bangalore/doctor-juice-koramangala
9541,https://www.swiggy.com/bangalore/pipabu-koramanagala-koramangala
9542,https://www.swiggy.com/bangalore/grow-fit-koramangala-koramangala
9543,https://www.swiggy.com/bangalore/wafl-co-koramangala-koramangala
9544,https://www.swiggy.com/bangalore/wtf-koramangala-koramangala
9545,https://www.swiggy.com/bangalore/burger-lounge-koramangala-5th-block-koramangala
9546,https://www.swiggy.com/bangalore/brownie-points-koramangala-4th-block-koramangala
9547,https://www.swiggy.com/bangalore/burger-king-koramangala
9548,https://www.swiggy.com/bangalore/freshmenu-1st-block-koramangala
9549,https://www.swiggy.com/bangalore/chianti-koramangala
9550,https://www.swiggy.com/bangalore/the-belgian-waffle-co-koramanagala-koramangala
9551,https://www.swiggy.com/bangalore/wok-paper-scissors-koramangala-koramangala
9552,https://www.swiggy.com/bangalore/o-my-hunger-koramangala-koramangala
9553,https://www.swiggy.com/bangalore/waikiki-koramangala
9554,https://www.swiggy.com/bangalore/saara39s-grill-n-spice-koramangala
9555,https://www.swiggy.com/bangalore/petoo-koramangala-4th-block-koramangala-koramangala
