,0
90,https://www.zomato.com/bangalore/shree-bhawani-sweets-yelahanka-bangalore
91,https://www.zomato.com/bangalore/tirumala-dreams-yelahanka-bangalore
92,https://www.zomato.com/bangalore/pulimunchi-express-yelahanka-bangalore
93,https://www.zomato.com/bangalore/dhaba-yelahanka
94,https://www.zomato.com/bangalore/happy-belly-restaurant-yelahanka-bangalore
95,https://www.zomato.com/bangalore/malabar-restaurant-1-yelahanka-bangalore
96,https://www.zomato.com/bangalore/hungrieee-kya-1-yelahanka-bangalore
97,https://www.zomato.com/bangalore/mehak-kitchen-yelahanka-bangalore
98,https://www.zomato.com/bangalore/emly-chilli-cafeteria-yelahanka-bangalore
99,https://www.zomato.com/bangalore/kanti-sweets-2-yelahanka
100,https://www.zomato.com/bangalore/hotel-annalakshmi-yelahanka
101,https://www.zomato.com/bangalore/kerala-cafe-yelahanka-bangalore
102,https://www.zomato.com/bangalore/rivera-food-lounge-yelahanka-bangalore
103,https://www.zomato.com/bangalore/hyderabadi-spice-house-yelahanka-bangalore
104,https://www.zomato.com/bangalore/sri-vinayaka-food-corner-yelahanka-bangalore
105,https://www.zomato.com/bangalore/food-folks-yelahanka-bangalore
106,https://www.zomato.com/bangalore/cauvery-biryani-mane-yelahanka-bangalore
107,https://www.zomato.com/bangalore/autoexpress-hot-dogs-yelahanka-bangalore
108,https://www.zomato.com/bangalore/durga-sree-andhra-mess-yelahanka
109,https://www.zomato.com/bangalore/sri-curries-1-yelahanka
110,https://www.zomato.com/bangalore/the-szechuan-yelahanka-bangalore
111,https://www.zomato.com/bangalore/homely-curries-and-pickles-yelahanka
112,https://www.zomato.com/bangalore/abis-cafe-restaurant-yelahanka-bangalore
113,https://www.zomato.com/bangalore/bar-bar-yelahanka
114,https://www.zomato.com/bangalore/thalassery-restaurant-yelahanka-bangalore
115,https://www.zomato.com/bangalore/the-green-house-family-restaurant-yelahanka-bangalore
116,https://www.zomato.com/bangalore/cafe-69-yelahanka-bangalore
117,https://www.zomato.com/bangalore/afnaan-restaurant-yelahanka-bangalore
118,https://www.zomato.com/bangalore/nagas-1-yelahanka-bangalore
119,https://www.zomato.com/bangalore/nagas-1-yelahanka-bangalore
120,https://www.zomato.com/bangalore/prashanth-naati-corner-yelahanka-bangalore
121,https://www.zomato.com/bangalore/bangaliana-yelahanka
122,https://www.zomato.com/bangalore/aroma-bakery-and-sweets-yelahanka
123,https://www.zomato.com/bangalore/sri-ganesh-grand-yelahanka
124,https://www.zomato.com/bangalore/empire-restaurant-yelahanka-bangalore
125,https://www.zomato.com/bangalore/rolls-on-wheels-1-yelahanka
126,https://www.zomato.com/bangalore/sri-thirumala-deluxe-family-restaurant-yelahanka
127,https://www.zomato.com/bangalore/lassi-like-yelahanka-bangalore
128,https://www.zomato.com/bangalore/garden-bar-restaurant-yelahanka-bangalore
129,https://www.zomato.com/bangalore/sri-krishna-grand-yelahanka-bangalore
130,https://www.zomato.com/bangalore/aranhas-yelahanka
131,https://www.zomato.com/bangalore/namma-mane-yelahanka
132,https://www.zomato.com/bangalore/bikaner-sweets-yelahanka-bangalore
133,https://www.zomato.com/bangalore/jobless-cafe-2-yelahanka-bangalore
134,https://www.zomato.com/bangalore/pokket-cafe-yelahanka-bangalore
135,https://www.zomato.com/bangalore/cafe-republic-yelahanka
